address,area,city,community_name,floor,listing_title,municipal_district,orientation,price,province,rooms,unit_price,url,year
四新-方岛|四新大道与芳草路交汇处,141.7㎡,武汉,方岛金茂智慧科学城,（共34层）,必看新房:方岛金茂不限够2成入住140精装科技房自带學区商业,,南北向,245万,,4室2厅,17290元/㎡,https://wuhan.esf.fang.com/chushou/3_199500543.htm,2019年建
四新-老关路与四新南路交汇处,143㎡,武汉,招商江山和樾,（共6层）,"汉阳滨江,招商品牌,一先看江,价格优惠 收藏",,南北向,286万,,3室2厅,20000元/㎡,https://wuhan.esf.fang.com/chushou/3_199209134.htm,2006年建
经济开发区-沌口路181号(16号线沌口站旁),109㎡,武汉,德信阳光城·江宸,（共34层）,必看好房:经开不限够地铁口109㎡精装三房高层+送车位,,南北向,105万,,3室2厅,9633元/㎡,https://wuhan.esf.fang.com/chushou/3_199149910.htm,2019年建
经开万达-葛洲坝紫郡兰园,45.11㎡,武汉,葛洲坝紫郡兰园,（共25层）,现房!6/16双地铁口+央企开发均价8500+小户型复式,,南北向,38万,,2室2厅,8423元/㎡,https://wuhan.esf.fang.com/chushou/3_199173408.htm,2021年建
南湖花园-丁字桥路与岭南路交汇处,140.16㎡,武汉,万科新都会,（共38层）,"必看好房:武昌二环丁字桥,万科精装通透4房+配套成熟",,南北向,325.8万,,4室2厅,23244元/㎡,https://wuhan.esf.fang.com/chushou/3_198968081.htm,2020年建
古田-园博大道与长丰大道交汇处(宜家旁),43.2㎡,武汉,华生城首府,（共12层）,新房:5.2米层高+有天然气+外阳台+宜家旁+总价低+适合居,,南北向,40.2万,,2室2厅,9305元/㎡,https://wuhan.esf.fang.com/chushou/3_199087967.htm,2020年建
光谷东-中海光谷东麓,89㎡,武汉,中海光谷东麓,（共6层）,央企准现房11号线400米+ 30万首付精装 入住光谷东,,南北向,105万,,3室2厅,11797元/㎡,https://wuhan.esf.fang.com/chushou/3_199436551.htm,2006年建
宗关简易-解放大道与水厂二路交汇处,142.18㎡,武汉,首创天阅一江源,（共33层）,首创一江源 国企品质一线江景含5000精装 一线临江区,,南北向,348万,,4室2厅,24476元/㎡,https://wuhan.esf.fang.com/chushou/3_199486442.htm,2020年建
四新-武汉国博新城,119㎡,武汉,武汉国博新城,（共32层）,精选好房:不限够国博新城119㎡边户通透三房双地铁带學区,,南北向,167万,,3室2厅,14033元/㎡,https://wuhan.esf.fang.com/chushou/3_199340930.htm,2019年建
三角湖-四新南路与新华园二路交汇处,116.08㎡,武汉,禹洲新希望·雍禧兰台,（共33层）,不限够!汉阳客云站口+精装116平大3房+新房直销无费用,,南北向,170.9万,,3室2厅,14722元/㎡,https://wuhan.esf.fang.com/chushou/3_199508516.htm,2021年建
光谷东-光谷四路与神墩三路交汇处,123㎡,武汉,力高雍华年,（共3层）,光谷新房捡漏!直降100万光谷现房联排别墅+实际面积623平,,南北向,267万,,4室2厅,21707元/㎡,https://wuhan.esf.fang.com/chushou/3_199496424.htm,2021年建
